Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CHK1 Approve WD List,Chrome 70.0.3538.102,,2018-11-21 17:09:37,2018-11-21 17:16:25,6m - 48.057s,FAILED
,,,,,,
Test Cases/MK_Initiate_WD,Chrome 70.0.3538.102,,2018-11-21 17:09:38,2018-11-21 17:14:19,4m - 40.821s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 17:09:39,2018-11-21 17:09:49,9.465s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 17:09:49,2018-11-21 17:09:56,7.041s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 17:09:56,2018-11-21 17:10:00,4.631s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-21 17:10:00,2018-11-21 17:10:04,3.461s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:10:04,2018-11-21 17:10:07,3.250s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 17:10:07,2018-11-21 17:10:09,2.047s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:10:09,2018-11-21 17:10:11,2.064s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:10:11,2018-11-21 17:10:13,2.241s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:10:13,2018-11-21 17:10:15,2.010s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 17:10:15,2018-11-21 17:10:17,2.068s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-21 17:10:17,2018-11-21 17:10:20,2.220s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:10:20,2018-11-21 17:10:22,2.007s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 17:10:22,2018-11-21 17:10:24,2.145s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:10:24,2018-11-21 17:10:26,2.009s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 17:10:26,2018-11-21 17:10:29,3.176s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 17:10:29,2018-11-21 17:10:31,2.107s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:10:31,2018-11-21 17:10:35,4.078s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-21 17:10:35,2018-11-21 17:10:50,15.355s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:10:50,2018-11-21 17:10:52,2.008s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:10:52,2018-11-21 17:10:56,3.484s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:10:56,2018-11-21 17:10:58,2.021s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 17:10:58,2018-11-21 17:11:01,3.060s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:11:01,2018-11-21 17:11:03,2.009s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 17:11:03,2018-11-21 17:11:11,8.354s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:11:11,2018-11-21 17:11:13,2.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:11:13,2018-11-21 17:11:21,7.171s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:11:21,2018-11-21 17:11:27,6.292s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:11:27,2018-11-21 17:11:29,2.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:11:29,2018-11-21 17:11:32,3.529s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:11:32,2018-11-21 17:11:34,2.014s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 17:11:34,2018-11-21 17:11:38,3.090s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 17:11:38,2018-11-21 17:11:41,3.061s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:11:41,2018-11-21 17:11:43,2.010s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 17:11:43,2018-11-21 17:11:51,8.347s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:11:51,2018-11-21 17:11:53,2.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:11:53,2018-11-21 17:12:01,8.276s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:12:01,2018-11-21 17:12:03,2.003s,PASSED
click,Chrome 70.0.3538.102,Checker 1,2018-11-21 17:12:03,2018-11-21 17:12:09,6.259s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:12:09,2018-11-21 17:12:14,4.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:12:14,2018-11-21 17:12:18,4.416s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 17:12:18,2018-11-21 17:12:21,3.066s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:12:21,2018-11-21 17:12:23,2.009s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 17:12:23,2018-11-21 17:12:31,8.312s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:12:31,2018-11-21 17:12:33,2.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:12:33,2018-11-21 17:12:44,10.702s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:12:44,2018-11-21 17:12:46,2.002s,PASSED
