Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WD Request,Chrome 70.0.3538.102,,2018-11-21 16:03:31,2018-11-21 16:09:34,6m - 3.879s,FAILED
,,,,,,
Test Cases/MK_Initiate_WD,Chrome 70.0.3538.102,,2018-11-21 16:03:32,2018-11-21 16:08:22,4m - 50.629s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 16:03:35,2018-11-21 16:03:48,13.028s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 16:03:48,2018-11-21 16:03:50,2.204s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:03:50,2018-11-21 16:03:55,4.962s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-21 16:03:55,2018-11-21 16:03:59,3.989s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:03:59,2018-11-21 16:04:03,3.742s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:04:03,2018-11-21 16:04:05,2.199s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:05,2018-11-21 16:04:07,2.219s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:07,2018-11-21 16:04:09,2.494s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:09,2018-11-21 16:04:11,2.031s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 16:04:11,2018-11-21 16:04:14,2.407s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:14,2018-11-21 16:04:16,2.032s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 16:04:16,2018-11-21 16:04:18,2.299s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:18,2018-11-21 16:04:20,2.020s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:04:20,2018-11-21 16:04:25,4.631s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 16:04:25,2018-11-21 16:04:27,2.309s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:27,2018-11-21 16:04:33,5.336s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-21 16:04:33,2018-11-21 16:04:48,15.896s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:48,2018-11-21 16:04:50,2.038s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:50,2018-11-21 16:04:55,4.064s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:55,2018-11-21 16:04:57,2.053s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:04:57,2018-11-21 16:05:00,3.269s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:00,2018-11-21 16:05:02,2.026s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:05:02,2018-11-21 16:05:11,9.306s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:11,2018-11-21 16:05:13,2.029s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:05:13,2018-11-21 16:05:22,8.304s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:05:22,2018-11-21 16:05:28,6.803s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:28,2018-11-21 16:05:30,2.034s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:05:30,2018-11-21 16:05:35,4.291s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:35,2018-11-21 16:05:37,2.024s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:05:37,2018-11-21 16:05:40,3.229s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:05:40,2018-11-21 16:05:43,3.280s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:43,2018-11-21 16:05:45,2.028s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:05:45,2018-11-21 16:05:54,8.946s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:54,2018-11-21 16:05:56,2.031s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:05:56,2018-11-21 16:06:05,8.550s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:05,2018-11-21 16:06:07,2.028s,PASSED
click,Chrome 70.0.3538.102,Checker 1,2018-11-21 16:06:07,2018-11-21 16:06:14,6.835s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:14,2018-11-21 16:06:18,4.036s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:18,2018-11-21 16:06:22,3.924s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:06:22,2018-11-21 16:06:25,3.230s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:25,2018-11-21 16:06:27,2.031s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:06:27,2018-11-21 16:06:36,9.050s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:36,2018-11-21 16:06:38,2.046s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:38,2018-11-21 16:06:46,8.467s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:46,2018-11-21 16:06:49,2.028s,PASSED
click,Chrome 70.0.3538.102,Checker 2,2018-11-21 16:06:49,2018-11-21 16:06:56,7.017s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:56,2018-11-21 16:06:58,2.009s,PASSED
